Serial,Symbol,Company Name,Screener Stock Symbol,Screener Stock Url
117,TIINDIA,Tube Investments of India Limited,TIINDIA,https://www.screener.in/company/TIINDIA/consolidated/
118,INDIANB,Indian Bank,INDIANB,https://www.screener.in/company/INDIANB/consolidated/
119,HINDPETRO,Hindustan Petroleum Corporation Limited,HINDPETRO,https://www.screener.in/company/HINDPETRO/consolidated/
120,BERGEPAINT,Berger Paints (I) Limited,BERGEPAINT,https://www.screener.in/company/BERGEPAINT/consolidated/
121,YESBANK,Yes Bank Limited,YESBANK,https://www.screener.in/company/YESBANK/consolidated/
122,TORNTPOWER,Torrent Power Limited,TORNTPOWER,https://www.screener.in/company/TORNTPOWER/consolidated/
123,OIL,Oil India Limited,OIL,https://www.screener.in/company/OIL/consolidated/
124,SBICARD,SBI Cards and Payment Services Limited,SBICARD,https://www.screener.in/company/SBICARD/
125,IDEA,Vodafone Idea Limited,IDEAFORGE,https://www.screener.in/company/IDEAFORGE/consolidated/
126,MARICO,Marico Limited,MARICO,https://www.screener.in/company/MARICO/consolidated/
127,GODREJPROP,Godrej Properties Limited,GODREJPROP,https://www.screener.in/company/GODREJPROP/consolidated/
128,AUROPHARMA,Aurobindo Pharma Limited,AUROPHARMA,https://www.screener.in/company/AUROPHARMA/consolidated/
129,UCOBANK,UCO Bank,UCOBANK,https://www.screener.in/company/UCOBANK/
130,BANKINDIA,Bank of India,BANKINDIA,https://www.screener.in/company/BANKINDIA/consolidated/
131,PERSISTENT,Persistent Systems Limited,PERSISTENT,https://www.screener.in/company/PERSISTENT/consolidated/
132,MUTHOOTFIN,Muthoot Finance Limited,MUTHOOTFIN,https://www.screener.in/company/MUTHOOTFIN/
133,NMDC,NMDC Limited,NMDC,https://www.screener.in/company/NMDC/consolidated/
134,ALKEM,Alkem Laboratories Limited,ALKEM,https://www.screener.in/company/ALKEM/consolidated/
135,PIIND,PI Industries Limited,PIIND,https://www.screener.in/company/PIIND/consolidated/
136,LTTS,L&T Technology Services Limited,LTTS,https://www.screener.in/company/LTTS/
137,GICRE,General Insurance Corporation of India,GICRE,https://www.screener.in/company/GICRE/consolidated/
138,TATACOMM,Tata Communications Limited,TATACOMM,https://www.screener.in/company/TATACOMM/consolidated/
139,JSL,Jindal Stainless Limited,504080,https://www.screener.in/company/504080/
141,SAIL,Steel Authority of India Limited,543541,https://www.screener.in/company/543541/
142,PGHH,Procter & Gamble Hygiene and Health Care Limited,PGHH,https://www.screener.in/company/PGHH/
143,SUZLON,Suzlon Energy Limited,SUZLON,https://www.screener.in/company/SUZLON/consolidated/
144,LINDEINDIA,Linde India Limited,LINDEINDIA,https://www.screener.in/company/LINDEINDIA/
145,SUPREMEIND,Supreme Industries Limited,SUPREMEIND,https://www.screener.in/company/SUPREMEIND/consolidated/
146,CONCOR,Container Corporation of India Limited,CONCORDBIO,https://www.screener.in/company/CONCORDBIO/
147,OBEROIRLTY,Oberoi Realty Limited,OBEROIRLTY,https://www.screener.in/company/OBEROIRLTY/consolidated/
148,ASTRAL,Astral Limited,ASTRAL,https://www.screener.in/company/ASTRAL/consolidated/
149,IDFCFIRSTB,IDFC First Bank Limited,IDFCFIRSTB,https://www.screener.in/company/IDFCFIRSTB/consolidated/
150,RVNL,Rail Vikas Nigam Limited,RVNL,https://www.screener.in/company/RVNL/
151,BHARATFORG,Bharat Forge Limited,BHARATFORG,https://www.screener.in/company/BHARATFORG/consolidated/
152,CENTRALBK,Central Bank of India,CENTRALBK,https://www.screener.in/company/CENTRALBK/consolidated/
153,JSWINFRA,JSW Infrastructure Limited,JSWINFRA,https://www.screener.in/company/JSWINFRA/consolidated/
154,POLICYBZR,PB Fintech Limited,POLICYBZR,https://www.screener.in/company/POLICYBZR/consolidated/
155,ASHOKLEY,Ashok Leyland Limited,ASHOKLEY,https://www.screener.in/company/ASHOKLEY/consolidated/
156,THERMAX,Thermax Limited,THERMAX,https://www.screener.in/company/THERMAX/consolidated/
157,PHOENIXLTD,The Phoenix Mills Limited,PHOENIXLTD,https://www.screener.in/company/PHOENIXLTD/consolidated/
159,TATAELXSI,Tata Elxsi Limited,TATAELXSI,https://www.screener.in/company/TATAELXSI/
160,PATANJALI,Patanjali Foods Limited,PATANJALI,https://www.screener.in/company/PATANJALI/
161,SJVN,SJVN Limited,SJVN,https://www.screener.in/company/SJVN/consolidated/
162,PRESTIGE,Prestige Estates Projects Limited,PRESTIGE,https://www.screener.in/company/PRESTIGE/consolidated/
163,ACC,ACC Limited,ACC,https://www.screener.in/company/ACC/consolidated/
164,NYKAA,FSN E-Commerce Ventures Limited,NYKAA,https://www.screener.in/company/NYKAA/consolidated/
165,SUNDARMFIN,Sundaram Finance Limited,SUNDARMFIN,https://www.screener.in/company/SUNDARMFIN/consolidated/
167,ABCAPITAL,Aditya Birla Capital Limited,ABCAPITAL,https://www.screener.in/company/ABCAPITAL/consolidated/
168,MPHASIS,MphasiS Limited,MPHASIS,https://www.screener.in/company/MPHASIS/consolidated/
169,BALKRISIND,Balkrishna Industries Limited,BALKRISIND,https://www.screener.in/company/BALKRISIND/consolidated/
170,DIXON,Dixon Technologies (India) Limited,DIXON,https://www.screener.in/company/DIXON/consolidated/
171,MAHABANK,Bank of Maharashtra,MAHABANK,https://www.screener.in/company/MAHABANK/consolidated/
172,KALYANKJIL,Kalyan Jewellers India Limited,KALYANKJIL,https://www.screener.in/company/KALYANKJIL/consolidated/
173,SCHAEFFLER,Schaeffler India Limited,SCHAEFFLER,https://www.screener.in/company/SCHAEFFLER/
174,AWL,Adani Wilmar Limited,AWL,https://www.screener.in/company/AWL/
175,APLAPOLLO,APL Apollo Tubes Limited,APLAPOLLO,https://www.screener.in/company/APLAPOLLO/consolidated/
176,TATATECH,Tata Technologies Limited,TATATECH,https://www.screener.in/company/TATATECH/consolidated/
177,SONACOMS,Sona BLW Precision Forgings Limited,SONACOMS,https://www.screener.in/company/SONACOMS/
178,KPITTECH,KPIT Technologies Limited,KPITTECH,https://www.screener.in/company/KPITTECH/consolidated/
179,FACT,Fertilizers and Chemicals Travancore Limited,FACT,https://www.screener.in/company/FACT/
180,PSB,Punjab & Sind Bank,PSB,https://www.screener.in/company/PSB/
181,PETRONET,Petronet LNG Limited,PETRONET,https://www.screener.in/company/PETRONET/
182,L&TFH,L&T Finance Holdings Limited,LTFOODS,https://www.screener.in/company/LTFOODS/consolidated/
183,UNOMINDA,UNO Minda Limited,UNOMINDA,https://www.screener.in/company/UNOMINDA/consolidated/
184,PAGEIND,Page Industries Limited,PAGEIND,https://www.screener.in/company/PAGEIND/
185,MRPL,Mangalore Refinery and Petrochemicals Limited,MRPL,https://www.screener.in/company/MRPL/consolidated/
186,AUBANK,AU Small Finance Bank Limited,AUBANK,https://www.screener.in/company/AUBANK/
187,MAZDOCK,Mazagon Dock Shipbuilders Limited,MAZDOCK,https://www.screener.in/company/MAZDOCK/consolidated/
188,HUDCO,Housing & Urban Development Corporation Limited,HUDCO,https://www.screener.in/company/HUDCO/consolidated/
189,GUJGASLTD,Gujarat Gas Limited,GUJGASLTD,https://www.screener.in/company/GUJGASLTD/
190,NIACL,The New India Assurance Company Limited,NIACL,https://www.screener.in/company/NIACL/consolidated/
191,CRISIL,CRISIL Limited,CRISIL,https://www.screener.in/company/CRISIL/consolidated/
192,AIAENG,AIA Engineering Limited,AIAENG,https://www.screener.in/company/AIAENG/consolidated/
